"BehaviorSpace results (NetLogo 6.0.1)"
"Roman_LULCC.nlogo"
"cell-resolution"
"08/14/2017 20:27:54:672 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","grain-req","expectation-scalar","tenure-drop","patches-per-ha","dynamic-pop","init-households","tenure","annual-precip","wood-req","[step]","mean [grain-supply] of households"
"70","212","0.7","0.2","2","false","10","""satisficing""","0.54","2000","200","102300.5649349601"
"71","212","0.7","0.2","2","false","10","""satisficing""","0.54","2000","200","102131.55068860087"
"72","212","0.7","0.2","2","false","10","""satisficing""","0.54","2000","200","102453.91020313473"
"73","212","0.7","0.2","2","false","10","""satisficing""","0.54","2000","200","102429.77855798947"
"74","212","0.7","0.2","2","false","10","""satisficing""","0.54","2000","200","102059.08053222531"
"75","212","0.7","0.2","2","false","10","""satisficing""","0.54","2000","200","102592.76837005245"
"76","212","0.7","0.2","2","false","10","""satisficing""","0.54","2000","200","101915.53475197704"
"77","212","0.7","0.2","2","false","10","""satisficing""","0.54","2000","200","102314.94023466035"
"78","212","0.7","0.2","2","false","10","""satisficing""","0.54","2000","200","102351.32363812432"
"79","212","0.7","0.2","2","false","10","""satisficing""","0.54","2000","200","102760.8902006867"
"80","212","0.7","0.2","2","false","10","""satisficing""","0.54","2000","200","101965.06220851514"
"81","212","0.7","0.2","4","false","10","""satisficing""","0.54","2000","200","102492.91229313679"
"82","212","0.7","0.2","4","false","10","""satisficing""","0.54","2000","200","102647.96091211362"
"83","212","0.7","0.2","4","false","10","""satisficing""","0.54","2000","200","101792.6140106975"
"84","212","0.7","0.2","4","false","10","""satisficing""","0.54","2000","200","102122.01831445462"
"85","212","0.7","0.2","4","false","10","""satisficing""","0.54","2000","200","102284.82651067198"
"86","212","0.7","0.2","4","false","10","""satisficing""","0.54","2000","200","101948.92828191441"
"87","212","0.7","0.2","4","false","10","""satisficing""","0.54","2000","200","102014.89805616808"
"88","212","0.7","0.2","4","false","10","""satisficing""","0.54","2000","200","102014.63498885049"
"89","212","0.7","0.2","4","false","10","""satisficing""","0.54","2000","200","102784.74667723416"
"90","212","0.7","0.2","4","false","10","""satisficing""","0.54","2000","200","101737.08613824403"
"91","212","0.7","0.2","4","false","10","""satisficing""","0.54","2000","200","102866.69827877844"
"92","212","0.7","0.2","4","false","10","""satisficing""","0.54","2000","200","102527.01897943017"
"93","212","0.7","0.2","4","false","10","""satisficing""","0.54","2000","200","101866.49759982478"
"94","212","0.7","0.2","4","false","10","""satisficing""","0.54","2000","200","102099.75893671063"
"95","212","0.7","0.2","4","false","10","""satisficing""","0.54","2000","200","102325.71055052649"
"96","212","0.7","0.2","4","false","10","""satisficing""","0.54","2000","200","101715.5442805039"
"97","212","0.7","0.2","4","false","10","""satisficing""","0.54","2000","200","102381.70275137463"
"98","212","0.7","0.2","4","false","10","""satisficing""","0.54","2000","200","102723.32223983321"
"99","212","0.7","0.2","4","false","10","""satisficing""","0.54","2000","200","101725.99175764101"
"100","212","0.7","0.2","4","false","10","""satisficing""","0.54","2000","200","102687.89945343307"
"101","212","0.7","0.2","6","false","10","""satisficing""","0.54","2000","200","102035.86429296983"
"102","212","0.7","0.2","6","false","10","""satisficing""","0.54","2000","200","101990.8992946927"
"103","212","0.7","0.2","6","false","10","""satisficing""","0.54","2000","200","102269.29693350344"
"104","212","0.7","0.2","6","false","10","""satisficing""","0.54","2000","200","102087.43090406257"
"105","212","0.7","0.2","6","false","10","""satisficing""","0.54","2000","200","102166.26794634206"
"106","212","0.7","0.2","6","false","10","""satisficing""","0.54","2000","200","102119.88422024611"
"107","212","0.7","0.2","6","false","10","""satisficing""","0.54","2000","200","101984.15984118394"
"108","212","0.7","0.2","6","false","10","""satisficing""","0.54","2000","200","102231.24035347844"
"109","212","0.7","0.2","6","false","10","""satisficing""","0.54","2000","200","102122.68164495478"
"110","212","0.7","0.2","6","false","10","""satisficing""","0.54","2000","200","102172.63706147115"
"111","212","0.7","0.2","6","false","10","""satisficing""","0.54","2000","200","102136.88672602864"
"112","212","0.7","0.2","6","false","10","""satisficing""","0.54","2000","200","102806.33500207448"
"113","212","0.7","0.2","6","false","10","""satisficing""","0.54","2000","200","101974.41683758482"
"114","212","0.7","0.2","6","false","10","""satisficing""","0.54","2000","200","101925.29507499351"
"115","212","0.7","0.2","6","false","10","""satisficing""","0.54","2000","200","102180.65702925649"
"117","212","0.7","0.2","6","false","10","""satisficing""","0.54","2000","200","102594.49241248883"
"116","212","0.7","0.2","6","false","10","""satisficing""","0.54","2000","200","102162.01966503645"
"118","212","0.7","0.2","6","false","10","""satisficing""","0.54","2000","200","101979.10875203768"
"119","212","0.7","0.2","6","false","10","""satisficing""","0.54","2000","200","102715.30077498585"
