title,type,description,lon,lat,periods,minDate,maxDate,id,tags
Akbou des Beni Chénacha,villa,"An ancient place, cited: BAtlas 30 G3 Akbou des Beni Chénacha",3.400832,36.637935,R,-30,300,295214,"dare:major=0, dare:ancient=0, dare:feature=villa"
Bou Kisnaden,villa,"An ancient place, cited: BAtlas 30 D3 Bou Kisnaden",2.371379,36.543718,RL,-30,640,295231,"dare:major=0, dare:ancient=0, dare:feature=villa"
Bou-Roukht,villa,"An ancient place, cited: BAtlas 30 D3 Bou-Roukht",2.256551,36.603386,R,-30,300,295233,"dare:major=0, dare:ancient=0, dare:feature=villa"
Nador,villa,"An ancient place, cited: BAtlas 30 D3 Nador",2.391278,36.570401,RL,-30,640,295315,"dare:major=0, dare:ancient=0, dare:feature=villa"
Sidi-bou-el-Messabih,villa,"An ancient place, cited: BAtlas 30 D3 Sidi-bou-el-Messabih",2.291792,36.590348,RL,-30,640,295341,"dare:major=0, dare:ancient=0, dare:feature=villa"
Sidi-el-Masmeudi,villa,"An ancient place, cited: BAtlas 30 D4 Sidi-el-Masmeudi",2.281579,36.494028,RL,-30,640,295342,"dare:major=0, dare:ancient=0, dare:feature=villa"
Thalefsa,villa,"An ancient place, cited: BAtlas 30 D3 Thalefsa",2.336182,36.63831,R,-30,300,295353,"dare:major=0, dare:ancient=0, dare:feature=villa"
Thénia,villa,"An ancient place, cited: BAtlas 30 G3 Thénia",3.55632,36.724521,RL,-30,640,295355,"dare:major=0, dare:ancient=0, dare:feature=villa"
Tirmlit,villa,"An ancient place, cited: BAtlas 30 D3 Tirmlit",2.313867,36.57297,R,-30,300,295364,"dare:major=0, dare:ancient=0, dare:feature=villa"
Zaouia de Sidi-Moussa,villa,"An ancient place, cited: BAtlas 30 D3 Zaouia de Sidi-Moussa",2.333755,36.559428,R,-30,300,295373,"dare:major=0, dare:ancient=0, dare:feature=villa"
Tellaro Roman villa,villa,An Imperial Roman villa with elaborate floor mosaics.,15.0784713,36.8359248,RL,-30,640,215496319,
Bir esc-Sciueref,villa,"An ancient place, cited: BAtlas 37 B1 Bir esc-Sciueref",16.35553,31.161372,R,-30,300,363941,"dare:major=0, dare:ancient=0, dare:feature=villa"
Dafni,villa,"An ancient place, cited: BAtlas 37 B1 Dafni",16.77768,31.191409,R,-30,300,363953,"dare:major=0, dare:ancient=0, dare:feature=villa"
el-Faschia,villa,"An ancient place, cited: BAtlas 37 B1 el-Faschia",16.425148,31.204628,R,-30,300,363961,"dare:major=0, dare:ancient=0, dare:feature=villa"
Gasr ed-Dubban,villa,"An ancient place, cited: BAtlas 37 B1 Gasr ed-Dubban",16.519899,31.154266,RL,-30,640,363966,"dare:major=0, dare:ancient=0, dare:feature=villa"
Gasr el-Brega,villa,"An ancient place, cited: BAtlas 37 E2 Gasr el-Brega",19.576684,30.412447,RL,-30,640,363968,"dare:major=0, dare:ancient=0, dare:feature=villa"
Henchir Bu Zahia,villa,"An ancient place, cited: BAtlas 37 B1 Henchir Bu Zahia",16.730044,31.204095,R,-30,300,363972,"dare:major=0, dare:ancient=0, dare:feature=villa"
el-Magedubia,villa,"An ancient place, cited: BAtlas 37 B1 el-Magedubia",16.668999,31.016352,R,-30,300,363989,"dare:major=0, dare:ancient=0, dare:feature=villa"
Magen el-Kanshiya,villa,"An ancient place, cited: BAtlas 37 B1 Magen el-Kanshiya",16.018285,31.061349,R,-30,300,363991,"dare:major=0, dare:ancient=0, dare:feature=villa"
er-Rumia,villa,"An ancient place, cited: BAtlas 37 B1 er-Rumia",16.799428,31.155442,R,-30,300,364009,"dare:major=0, dare:ancient=0, dare:feature=villa"
es-Semat,villa,"An ancient place, cited: BAtlas 37 B1 es-Semat",16.543714,31.17763,R,-30,300,364013,"dare:major=0, dare:ancient=0, dare:feature=villa"
es-Snemat,villa,"An ancient place, cited: BAtlas 37 B1 es-Snemat",16.762348,31.157885,RL,-30,640,364015,"dare:major=0, dare:ancient=0, dare:feature=villa"
Unnamed villa,villa,An unnamed villa from the Boreum region,19.907708,30.4519,RL,-30,640,365422,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,villa,Unlabeled feature captured from the Barrington Atlas,9.976536,33.89703,RL,-30,640,183817902,"dare:major=0, dare:ancient=2, dare:feature=villa"
Fundus Seneci(...),villa,"An ancient place, cited: BAtlas 31 F4 Fundus Seneci(...)",6.451106,36.328027,R,-30,300,305080,"dare:ancient=1, dare:major=0, dare:feature=villa"
Numituriana?/Saltus Caeliae Maximae,villa,"An ancient place, cited: BAtlas 31 E4 Numituriana?/Saltus Caeliae Maximae",6.3229,36.396996,RL,-30,640,305122,"dare:ancient=1, dare:major=0, dare:feature=villa"
Oued Athmenia,villa,"An ancient place, cited: BAtlas 31 E4 Oued Athmenia",6.288526,36.244684,RL,-30,640,305124,"dare:major=0, dare:ancient=0, dare:feature=villa"
Praedia Iulii,villa,"An ancient place, cited: BAtlas 31 C4 Praedia Iulii",5.32512,36.207178999999996,R,-30,300,305132,"dare:ancient=1, dare:major=0, dare:feature=villa"
Saltus Bagatensis,villa,"An ancient place, cited: BAtlas 31 F4 Saltus Bagatensis",6.83273,36.317545,RL,-30,640,305143,"dare:ancient=1, dare:major=0, dare:feature=villa"
Saltus Poctanensis P(h)osphorianus,villa,"An ancient place, cited: BAtlas 31 G4 Saltus Poctanensis P(h)osphorianus",7.044814,36.402214,RL,-30,640,305145,"dare:ancient=1, dare:major=0, dare:feature=villa"
Vicus Antoniae Saturninae,villa,"An ancient place, cited: BAtlas 31 E4 Vicus Antoniae Saturninae",6.222177,36.030038,RL,-30,640,305183,"dare:ancient=1, dare:major=0, dare:feature=villa"
*Vicus Phosphorianus,villa,"An ancient place, cited: BAtlas 31 G4 *Vicus Phosphorianus",7.080887,36.137412,RL,-30,640,305185,"dare:ancient=1, dare:major=0, dare:feature=villa"
Ain-el-Djemala,villa,"An ancient place, cited: BAtlas 32 D3 Ain-el-Djemala",9.312556,36.502403,R,-30,300,314862,"dare:major=0, dare:ancient=0, dare:feature=villa"
Ain-Taleb,villa,"An ancient place, cited: BAtlas 32 C4 Ain-Taleb",8.789781,36.209043,R,-30,300,314874,"dare:major=0, dare:ancient=0, dare:feature=villa"
Carthago,"villa, theatre, circus, cemetery, bath, church, settlement, amphitheatre, port","The ancient city of Carthage, located in modern Tunis (Tunisia).",10.32340778,36.84837212,ACHRRLMM,-750,2100,314921,UWHS
Fundus Aufidianus,villa,"An ancient place, cited: BAtlas 32 E3 Fundus Aufidianus",9.666923,37.033395,R,-30,300,314954,"dare:ancient=1, dare:major=0, dare:feature=villa"
